sep=;
Supervisor;Title;StudentID;Status;ProjectID
Ke Yiping, Kelly;Machine Learning-based Interference Mitigation in a Multi-tier Networks;le51;Allocated;1
A S Madhukumar;Deep Learning-Driven Edge Caching for 5G-and-Beyond Industrial IoT Networks;;Available;2
Alexei Sourin;Sonification of geometry 1;;Available;3
Arvind Easwaran;Edge/Cloud Resource Management for Time-Sensitive Applications (2);;Available;4
Bo An;test 123;;Available;5
A S Madhukumar;Build Software Agents for Power Trading Agent Competition;don84;Allocated;6
Bo An;Designing Negotiation Agents to Parcitipate in International Competition;sl22;Allocated;7
Cai Wentong;Creation of Meta-model for Agent-based Simulation Using Machine Learning Approach;;Available;8
Chen Change Loy;Encoding Images to Text Prompts with CLIP;;Available;9
Chia Liang Tien;Smart Monitor for Studio Photographer;;Available;10
Cong Gao;Developing a demonstration system for spatial data exploration and visualization ;;Available;11
Cong Gao;Deep Learning Supported Location-aware Keyword Query;;Available;12
Douglas Leslie Maskell;An AI based Li-ion fast battery charger for power tools;;Available;13
Douglas Leslie Maskell;A Li-ion fast battery charger;;Available;14
Dusit Niyato;Metaverse for virtual education 1;;Available;15
Ke Yiping, Kelly;Graph-based Deep Models for Image Semantic Segmentation;;Available;16
A S Madhukumar;project 123456;;Available;17
Bo An;project 2345;;Available;18
Li Fang;project 9876;;Reserved;19
